Date,Result,Color,Your_Rating,Opponent_Rating,Opponent_Bracket,ECO,Opening,Score
2026.05.11,1-0,Black,1782,1783,1700,C20,King's Pawn Game: Wayward Queen Attack,0
2026.05.11,0-1,White,1789,1743,1700,A00,Hungarian Opening,0
2026.05.11,1-0,White,1783,1808,1800,A00,Hungarian Opening: Reversed Modern Defense,1
2026.05.11,0-1,Black,1821,1794,1700,A00,Van't Kruijs Opening,1
2026.05.11,1-0,Black,1828,1725,1700,C50,"Italian Game: Classical Variation, Albin Gambit",0
2026.05.11,1-0,White,1823,1799,1700,A00,Hungarian Opening,1
2026.05.11,0-1,Black,1818,1753,1700,C50,Four Knights Game: Italian Variation,1
2026.05.11,0-1,White,1824,1816,1800,A00,Hungarian Opening,0
2026.05.11,1-0,Black,1829,1809,1800,C42,Petrov's Defense,0
2026.05.11,1-0,White,1823,1895,1800,A00,Hungarian Opening,1
2026.05.11,1-0,Black,1828,1836,1800,A00,Hungarian Opening,0
2026.05.11,1-0,White,1822,1853,1800,A00,Hungarian Opening: Slav Formation,1
2026.05.11,0-1,Black,1815,1848,1800,C42,Petrov's Defense: Three Knights Game,1
2026.05.11,0-1,Black,1810,1745,1700,D06,Queen's Gambit Declined: Marshall Defense,1
2026.05.11,1-0,White,1803,1805,1800,A00,Hungarian Opening: Symmetrical Variation,1
2026.05.11,1-0,Black,1788,1797,1700,C22,Center Game: Normal Variation,0
2026.05.11,0-1,White,1794,1806,1800,A00,Hungarian Opening,0
2026.05.11,0-1,Black,1788,1755,1700,C42,Petrov's Defense: Three Knights Game,1
2026.05.10,1-0,White,1782,1841,1800,A00,Hungarian Opening,1
2026.05.10,1-0,White,1777,1750,1700,A00,Hungarian Opening: Dutch Defense,1
2026.05.10,0-1,Black,1771,1762,1700,D02,Queen's Pawn Game: London System,1
2026.05.10,1-0,White,1765,1788,1700,C00,French Defense: King's Indian Attack,1
2026.05.09,1-0,Black,1770,1793,1700,C42,Petrov's Defense,0
2026.05.09,1-0,White,1764,1809,1800,A00,Grob Opening: Grob Gambit,1
2026.05.08,0-1,Black,1759,1725,1700,C20,King's Pawn Game: Napoleon Attack,1
2026.05.08,0-1,White,1892,1931,1900,A85,Dutch Defense: Queen's Knight Variation,0
2026.05.08,0-1,Black,1752,1776,1700,C50,"Italian Game: Giuoco Pianissimo, Italian Four Knights Variation",1
2026.05.07,1-0,White,1747,1732,1700,A00,Hungarian Opening: Sicilian Invitation,1
2026.05.07,0-1,Black,1741,1731,1700,C24,Bishop's Opening: Berlin Defense,1
2026.05.06,1-0,Black,1746,1773,1700,A40,Queen's Pawn Game,0
2026.05.06,1-0,White,1741,1708,1700,C10,French Defense: Rubinstein Variation,1
